"page","itemText","itemName","timestamp"
"/bpla/","Дрон на оптоволокні","БПЛА ДОКТОР ВАТСОН 10.1","2026-09-21T22:16:47.550Z"
"/bpla/","Дрон на оптоволокні","БпЛА ХОРТ 15 оптоволокно 30 км нічний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА ХОРТ 15 оптоволокно 25 км нічний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА ХОРТ 15 оптоволокно 20 км нічний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА ХОРТ 15 оптоволокно 30 км денний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА ХОРТ 15"" оптоволокно 25 км денний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА ХОРТ 15 оптоволокно 20 км денний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА МАРА 10 оптоволокно 20 км нічний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА МАРА 10 оптоволокно 15 км нічний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА МАРА 10 оптоволокно 10 км нічний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА МАРА 10 оптоволокно 20 км денний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА МАРА 10"" оптоволокно 15 км денний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА МАРА 10"" оптоволокно 10 км денний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА SKY OPTO 15.20","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА JET-13-FO (для денного використання з оптоволоконним кабелем 25 км)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА JET-13-FO (для нічного використання з оптоволоконним кабелем 25 км)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БПАК ""JET-13-FO"" (БпЛА для денного використання - 50 од. з оптоволоконним кабелем 25 км)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА «VORTEX» 10/20км","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпАК «TURA FPV DRON 11D digital Manta»","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","TURA FPV Dron 11DB digital Manta 20 біспектральна цифрова камера","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","TURA FPV Dron 11D digital Manta 20 денна цифрова камера","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","FPV-Дрон EVA 15 OF 30км нічний","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","FPV-Дрон EVA 15 OF 30 км","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпАК “VOHNYK OPTIC 15/25” (Комплект з 50 БпЛА)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпАК “VOHNYK OPTIC 15/25” (Комплект з 25 БпЛА)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Комплекс безпілотний авіаційний «STAR OF REVENGE 15 Optic 35km»","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Комплекс безпілотний авіаційний «STAR OF REVENGE 15 Optic 30km»","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БпЛА ""VOHNYK OPTIC 15/25""","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БПЛА DERUN 1330NO (ніч,котушка 20км)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БПЛА DERUN 1330NO (ніч,котушка 25км)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БПЛА DERUN 1330O (день, котушка 20км)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","БПЛА DERUN 1330O (день,котушка 25км)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Комплекс безпілотний авіаційний «STAR OF REVENGE 15 Optic 25km»","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Безпілотний літальний апарат «STAR OF REVENGE 15 Optic Thermal 35km» (тепловізійна камера розподільною здатністю 640*512)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Безпілотний літальний апарат «STAR OF REVENGE 15 Optic Thermal 30km» (тепловізійна камера розподільною здатністю 640*512)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Безпілотний літальний апарат «STAR OF REVENGE 15 Optic Thermal 25km» (тепловізійна камера розподільною здатністю 640*512)","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Безпілотний літальний апарат «STAR OF REVENGE 15 Optic 35km»","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Безпілотний літальний апарат «STAR OF REVENGE 15 Optic 30km»","2026-09-21T22:16:47.556Z"
"/bpla/","Дрон на оптоволокні","Безпілотний літальний апарат «STAR OF REVENGE 15 Optic 25km»","2026-09-21T22:16:47.556Z"
